Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
VBND,Vident Core U.S. Bond Strategy Fund,48.11,$413.75M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vbnd
VUSE,Vident Core US Equity ETF,32.02,$486.7M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vuse
VIDI,Vident International Equity Fund,27.42,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vidi
VDTH,Videocon d2h Limited,8.49,$893.5M,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/vdth
VRAY,"ViewRay, Inc.",8.17,$551.1M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/vray
VKTX,"Viking Therapeutics, Inc.",6.34,$307.28M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vktx
VKTXW,"Viking Therapeutics, Inc.",5.09,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vktxw
VBFC,Village Bank and Trust Financial Corp.,30.85,$44.14M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/vbfc
VLGEA,"Village Super Market, Inc.",23.24,$334.44M,n/a,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/vlgea
VNOM,Viper Energy Partners LP,22.86,$2.6B,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/vnom
VIRC,Virco Manufacturing Corporation,4.25,$65.27M,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/virc
VIRT,"Virtu Financial, Inc.",26.5,$4.96B,2015,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/virt
VRTS,"Virtus Investment Partners, Inc.",120.2,$860.39M,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/vrts
VRTSP,"Virtus Investment Partners, Inc.",105.17,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/vrtsp
BBC,Virtus LifeSci Biotech Clinical Trials ETF,31.02,$31.02M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbc
BBP,Virtus LifeSci Biotech Products ETF,39.8946,$39.89M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbp
VRTU,Virtusa Corporation,46.33,$1.36B,2007,Technology,EDP Services,https://www.nasdaq.com/symbol/vrtu
VTGN,"VistaGen Therapeutics, Inc.",1.2,$26.22M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vtgn
VC,Visteon Corporation,119.88,$3.73B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/vc
VTL,"Vital Therapies, Inc.",5.3,$223.7M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vtl
VIVE,"Viveve Medical, Inc.",3.75,$72.85M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/vive
VVPR,VivoPower International PLC,2.52,$34.16M,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/vvpr
VVUS,"VIVUS, Inc.",0.495,$52.45M,1994,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vvus
VOD,Vodafone Group Plc,28.4,$75.76B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/vod
VOXX,VOXX International Corporation,5.25,$127.05M,n/a,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/voxx
VYGR,"Voyager Therapeutics, Inc.",18.01,$567.62M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vygr
VSEC,VSE Corporation,46.72,$506.37M,n/a,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/vsec
VTVT,vTv Therapeutics Inc.,6.82,$223.78M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vtvt
